incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt
基隆市天外天垃圾資源回收(焚化)廠,2017,159213.8,31876.6,188778.5
基隆市天外天垃圾資源回收(焚化)廠,2016,77198.46,112635,195160.3
基隆市天外天垃圾資源回收(焚化)廠,2015,78643.23,112111,192225.9
基隆市天外天垃圾資源回收(焚化)廠,2014,76908.25,119872.1,195229.1
基隆市天外天垃圾資源回收(焚化)廠,2013,76670.16,124294.5,193751.5
基隆市天外天垃圾資源回收(焚化)廠,2012,74464.36,120482.4,189284.5
基隆市天外天垃圾資源回收(焚化)廠,2011,74879.98,118960.4,189724.8
基隆市天外天垃圾資源回收(焚化)廠,2010,76735.54,120905,191740.5
基隆市天外天垃圾資源回收(焚化)廠,2009,75718.54,113845,183061.8
基隆市天外天垃圾資源回收(焚化)廠,2008,75314.93,108536.6,182488.6
基隆市天外天垃圾資源回收(焚化)廠,2007,82531.32,107738.3,186936
基隆市天外天垃圾資源回收(焚化)廠,2006,61358.93,76123.9,134864.1
高雄市政府環境保護局南區資源回收廠,2021,172157.2,184122.3,374194.4
高雄市政府環境保護局南區資源回收廠,2020,181089.3,207766.2,415732.4
高雄市政府環境保護局南區資源回收廠,2019,203040,197811.7,416861.1
高雄市政府環境保護局南區資源回收廠,2018,176796.1,188260.3,377134.8
高雄市政府環境保護局南區資源回收廠,2017,185374,174655.2,364932.2
高雄市政府環境保護局南區資源回收廠,2016,133102.1,226594.1,374989.3
高雄市政府環境保護局南區資源回收廠,2015,172744.8,271375,430309.7
高雄市政府環境保護局南區資源回收廠,2014,164799.4,219185.5,367980.8
高雄市政府環境保護局南區資源回收廠,2013,178630.8,219488.6,405396.4
高雄市政府環境保護局南區資源回收廠,2012,144084.2,206627.1,348476.3
高雄市政府環境保護局南區資源回收廠,2011,196064.9,180044.9,342999.7
高雄市政府環境保護局南區資源回收廠,2010,228282.1,166341.3,373226.8
高雄市政府環境保護局南區資源回收廠,2009,138559.9,168191.8,297373.3
高雄市政府環境保護局南區資源回收廠,2008,128052.8,220692.9,323197.4
高雄市政府環境保護局南區資源回收廠,2007,163948.1,242490.1,369293.9
高雄市政府環境保護局南區資源回收廠,2006,161417,245569,367154.3
高雄市政府環境保護局南區資源回收廠,2005,161910,286893.7,448080.2
高雄市政府環境保護局南區資源回收廠,2004,213038.9,275323.7,453592.7
高雄市政府環境保護局南區資源回收廠,2003,221880.4,213281.1,390853
高雄市政府環境保護局中區資源回收廠,2021,213843.2,0,205153.2
高雄市政府環境保護局中區資源回收廠,2020,225399.8,0,205984.5
高雄市政府環境保護局中區資源回收廠,2019,242428.4,0,209877.7
