incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt,buttomdustqt,flyashsolidqt,eqeffgasacqt,actelecqt,actsoldelecqt,actsoldelecpct,soldelecincome,operationhour,nooprthour,dsnprocqt,dustlandfillqt,applyno
臺中市文山垃圾焚化廠,2021,179635.6,19802.72,198398.4,22761.99,11374.96,125038.2,85483.63,65144.7,76.207000,123967.7,23979,2301,,11374.96,WEPB2401
臺中市文山垃圾焚化廠,2020,186596.1,7641.87,196306.3,22922.86,11516.02,124481.9,78304.29,57563.76,73.513000,94669.77,22906,3446,,10456.8,WEPB2401
臺中市文山垃圾焚化廠,2019,205489.9,7056.19,215412.7,24405.77,11345.41,128237.3,82316.95,59956.63,72.836000,109531.1,23815,2465,,11674.85,WEPB2401
臺中市文山垃圾焚化廠,2018,202213.3,5346.95,208886.6,24059.1,10673.95,118236.6,79517.19,59644.78,75.009000,108592.8,23144,3136,,11677,WEPB2401
臺中市文山垃圾焚化廠,2017,213149.3,6099.65,216437.7,25359.77,11754.16,124088.1,80526.21,59378.26,73.738000,100465.8,23475,2805,,11274,WEPB2401
臺中市文山垃圾焚化廠,2016,173166.5,49632.6,220488.2,27435.57,12180.79,127657.2,85885.75,63964.35,74.476000,112902,23719,2633,,19845.86,WEPB2401
臺中市文山垃圾焚化廠,2015,162180.2,53788.05,219089.9,28187.67,11821.73,126591,90644.01,68025.12,75.046000,143012.4,24039,2241,,13919.3,WEPB2401
臺中市文山垃圾焚化廠,2014,162503.1,63328.02,221518.1,31372.51,11694.66,122384.9,93326.07,70546.12,75.591000,153513.7,23993,2287,,11807.54,WEPB2401
臺中市文山垃圾焚化廠,2013,167178.5,53078.69,220459.7,30128.31,10238.78,122082.2,86329.98,64228.34,74.399000,131742.9,23838,2442,,10238.78,WEPB2401
臺中市文山垃圾焚化廠,2012,172365.3,45307.22,217028,31051.39,13928.35,126626.9,85722.82,62177.44,72.533000,123307.5,23814,2538,,13928.35,WEPB2401
臺中市文山垃圾焚化廠,2011,174361.3,48063.26,222948.1,31217.73,14811.14,126094.5,90282.69,67596.51,74.872000,131125.6,24197,2083,,14811.14,WEPB2401
臺中市文山垃圾焚化廠,2010,178345.8,50448.54,226441.7,31236.41,16219.14,124651.4,90026.58,67539.51,75.022000,129860.1,23752,2528,,17026.66,WEPB2401
臺中市文山垃圾焚化廠,2009,178917.3,50705.11,227426.8,32487.59,17436.74,125694.2,92761.37,69391.29,74.806000,130632.6,24172,2108,,17436.74,WEPB2401
臺中市文山垃圾焚化廠,2008,157446.3,64781.77,234405.9,39297.08,4876.76,131199.6,93590.79,70879.91,75.734000,113677.3,24466,1886,,6895.63,WEPB2401
臺中市文山垃圾焚化廠,2007,174053.6,44714.37,220987.5,32276.2,8324.68,114586.1,91682.04,70807.52,77.232000,98363.4,23920,2360,,41656.09,WEPB2401
臺中市文山垃圾焚化廠,2006,180357.7,48723.53,227600.5,32836.18,10067.06,112290.2,96835.69,75053.35,77.506000,100655.7,24627,1653,,42551.52,WEPB2401
臺中市文山垃圾焚化廠,2005,168007,36277.84,215036.5,27355.85,10354.62,110424.4,93899,71585.77,76.237000,90917.19,24172,2108,,37710.47,WEPB2401
臺中市文山垃圾焚化廠,2004,199939.8,23966.02,219882.2,27699.34,10882.1,123915,94291.21,71990.85,76.349000,91530.89,24207,2145,,38581.74,WEPB2401
臺中市文山垃圾焚化廠,2003,221110,20640.73,228111,28303.66,10882.32,125561.7,96945.84,74283.18,76.623000,94983.02,24671,1609,,42566.82,wepb2401
彰化縣溪州垃圾焚化廠,2021,284518,3377.72,291961.2,35725.25,11840.66,144132.1,153531.7,124741.3,81.248000,261216.2,15807,1713,,12048.03,WEPN3259
彰化縣溪州垃圾焚化廠,2020,277470.3,3463.18,281027,34440.7,13441.41,124934.6,146487.3,119281.1,81.428000,223149.2,15312,2256,,13441.41,WEPN3259
彰化縣溪州垃圾焚化廠,2019,284653.8,5135.49,286516.3,35339.25,15343.57,140769.8,146816.4,118716.1,80.860000,223131.5,15800,1720,,15592.97,WEPN3259
彰化縣溪州垃圾焚化廠,2018,284422.3,3918.93,287883.4,35863.74,13702.94,144731.1,142695.3,115221.8,80.747000,218827.9,15844,1676,,14219.2,WEPN3259
彰化縣溪州垃圾焚化廠,2017,275442,10176.88,281093.7,36956.97,13642.02,140692.7,144169.1,115218.8,79.919000,216860.4,15563,1957,,13852.61,WEPN3259
